idx,text,your_label
0,Bo? ?eydi çay içib serinleyerik,2
1,Sonra memorandum ç?rçiv?sind? g?l?c?k ?m?kda?l?qlar müzakir? edilib.,2
2,Leyla Aliyeva isdemirsen bele bir sey ?)))),2
3,Tesekkuru esitmek yox demeyi oyrenmek lazimdi bir coxuna.,3
4,"Bayaq s?h?r Bubnovan?n arxas?nda durub baxan, da??n?q saçl?, üzün? ?nlik ç?kmi? qad?n onun xaç kirv?si imi?.",2
5,Diriler yaman yaritdi qald? ölül?r..,3
6,"ALLAHT?ALA ?A?RL?R sur?sind? buyurur.. -?airl?rd?n düz yazan? da var,ancaq ?airlikd?n uzaq olun!  ?A?RL?R Uca Allaha ??rik q?rar ver?nl?rd?ndirl?r.. Bo? söz y?g?n?n n?zm? ç?km?kl?. Yegan? N?zmkar Uca Allah özüdür ki,Bütün Gün?? sistemin ,Qalaktikan? N?zm? ç?kib v? h?r?k?tl?rini T?nziml?yir... Allahu Ekberu! Allahu Ekb?r! 114 cü sur?ni Az?rbaycan dilind? sonradan s?hv t?rcüm? il? mü?yy?n  maraqlara uy?un çap  edibl?r ... (1981 ci ild? yuxu vasit?sil? m?n? g?l?n v? yazd?r?lan  V?HYL?RD?N...)",3
7,"Xüsusil?, ligamentl?rin mumiyalanmas? v? qurumas? prosesl?ri ox?ar mü?ahid? olunan h?r?k?tl?r? s?b?b ola bil?r.",2
8,"Baxd?m sap? ya??l v? x?tdidi ,dedim ki y?qin 3000 il ya?? var)) insanlarda inand?",2
9,Diw amilide wertdir. Ele menim ozumde indinin ozunde wekil cekdirende gulmurem.,3
10,?lad? bütün öd?ni?l?rimi bu t?tbiq üz?rind?n edir?m.,1
11,"Bu ""kompaniya"" dediyiniz ist?nil?n vaxt bel?dir d?. :-)",3
12,"Biz d? is? X?z?dan Samaxiya getm?k ucun 100 km Bakiya,sonra 120 km  yenid?n buradan Samaxiya getm?k lazimdir. Halbuki,Xizidan Samaxiya olan 40 km-lik dag yolunu abira salib,asfaltlamaq lazimdir",3
13,"Bir ara tutuzdurmu?dular ele ancaq messi v? ronaldonu mükafatland?r?rd?lar,h?min vaxtlarda bu yetimind? haqq? idi h?min mükafat? almaq,amma verm?dil?r! Bunun görüb gördüyü el? bu olacaq… Messi,Ronaldo v? bu el? eyni dövrün futbolçular?d?r.",3
14,"""Yax?? at özün? qamç? vurdurmaz"" kimi iyr?nc atalar sözümüz d? var. Qad?n? alçaldan cüml?. Hans? q?j?, ma?ara beyinli ""atalar?n"" deyimidi bu? Halbuki ingilisl?r bu deyimi el? göz?l formada deyir ki. ""Yax?? meht?r qamç? vurmaz, s??al ç?k?r!"". Bu cür sözl?r dem?k laz?md?. Özünü qad?ndan üstün gör?n, h?r fürs?td? onu ?z?n, a?a??layan ""ki?i"" m?nim gözümd? ?n z?if, ?n aciz, ?n ?zik ki?idir özü d? h?r m?nada",3
15,M?h?rr?m Qafarov  gör n? q???ydi el? bil Lamborgini Urusdu,1
16,Bizd? h?l?: QOQO BO?ONMO? QIZLA OVLONORSON?,3
17,A.??rif iki ali t?hsil alm??d?: Az?rbaycan Dövl?t Konservatoriyas?n? v? Bak? Dövl?t Universitetinin bitirmi?di.,2
18,X?z?ri qurudublar uje hündür tikilil?r tikibl?r heç n?y? yar?m?yan,3
19,"Dey?s?n, xaricil?rd?ndi, g?lm? idi, bu evd? ya?ay?rd?, a?a?? m?rt?b?d?.",2
20,"B-2-nin hamar, az sürtünm?li dizayn? ona t?qdir?layiq uçu? m?saf?si verm?kl? yana?? onun radar izini d? k?skin ??kild? azald?r.",2
21,Goren biznes tarif planlarinada samil olunacaq),2
22,Kurulu? Osmanda olan Bala Xatun rolunu aparan q?z ox?ay?re,2
23,“Biz torpa??m?z? heç bir halda onlara verm?y?c?yik.,3
