condition,text,gold,pred,auto_category,manual_category
baza,"Möhtəşəm tətbiqdi, çox bəyəndim. Bütün restoranlar tətbiqin daxilində mövcuddur. İnterfeys möhtəşəmdir.",1,0,morfoloji,
baza,Qarşıda ordumuzu gözləyən daha şərəfli və çətin missiyalar var.,1,0,diger,
baza,"Halal olsun Məmmədə (sözgəlişi),atasınin yasında Moskvadan qızlar gətizdirmişdi.)))",1,0,morfoloji,
baza,"filmə baxdım, həqiqətən çox təsirlidir, ailəsinin ağrıların adam ürəyində hiss edir. Fotojurnalist Sarsin’nin sonda dediyindən fərqli olaraq Natiq’in qəhrəmanlığı təkcə müharibənin xülasəsi deyil, şəxsən mənə görə Natiq’in qəhrəmanlığı hər iki millətin kimliyin ortalığa qoyur. Gənc yaşda tək başına ",1,0,diger,
baza,Allah kömeyin olsün gözrl qardaş.,1,0,diger,
baza,Ma nə var bəzi baltabaşlardan 100 dəfə yaxşıdı səsi,1,0,diger,
baza,"Həm maddi texniki vəziyyəti, həm də mənəvi mühiti gücləndiriləcək.",1,0,morfoloji,
baza,Hər ogulun duxu doyule belə tarixi qoruyub saxlasin halal olsun sənə ağsaqqal,1,0,diger,
baza,4K UHD 3D izləyənlərin yuxusu?)))),1,0,morfoloji,
baza,"Mənə görə ən maraqlı elm tarixdir. Arxeoloji qazıntılar, ehramlar, qədim qəbirlər... hətda tarixi filmlər belə.",1,0,diger,
baza,Sobsan Boya görün neynirsiz də) yaxşi pul var bu işdə,1,0,diger,
baza,Onu bir də push elə görək nə olur.,0,1,diger,
baza,Ehalisi 40mini kecdi artiq amma beli hebsxanasi demek olar ki yox seviyyesindedir cox nadir hallarda hadiseler bas verir ve sakit bir olkedir,1,0,diger,
baza,Allah uzun omur versinn...hamiya nesib olsun belee 50 ilikk,1,0,diger,
baza,Sarvar Rustamov bu rahatlıqdan istəyirəm),1,0,diger,
baza,Yaxwi sihledilazimiydi sene denen?),1,0,diger,
baza,Halal olsun  pullari kasiblara xercleyib bu onun insanliqidi,1,0,diger,
baza,"Heyranam bu arılara da, bu arıları yaradana da",1,0,diger,
baza,"Bu, dövlətimizin təkcə Azərbaycanın gələcək inkişafına deyil, həm də iqlim dəyişikliyi ilə bağlı məsələlərə töhfəsidir.",1,0,morfoloji,
